oleo	forma	bloco	a1	a2	a3	a4	a5
H	oleo	1	96	96	96	96	91
H	oleo	1	96	91	91	86.5	32
H	oleo	1	100	94	96	89.4	68.4
H	extrato	1	91	89	96	96	96
H	extrato	1	93.5	96	64	73	73
H	extrato	1	86.5	57	96	64	64
A	oleo	1	91	82	82	48	24.25
A	oleo	1	96	93.5	89.2	82	58.9
A	oleo	1	98	96	95.5	93.5	91
A	extrato	1	95.5	89	93.5	89	86.5
A	extrato	1	93.5	89.4	86.5	16.5	73
A	extrato	1	95.5	93.5	89	64	64
C	oleo	1	98	96	89	89	86.5
C	oleo	1	91	86.5	82	57	32
C	oleo	1	93.5	91.25	89	91	73
C	extrato	1	93.5	96	86.5	86.5	89
C	extrato	1	93.5	96	89	86.5	93.5
C	extrato	1	96	98	96	86.5	96
test	test	1	96	100	96	96	91
test	test	1	93.5	93.5	96	86.5	73
test	test	1	9.5	96.75	96	91.25	93
fung	fung	1	100	100	96	96	96
fung	fung	1	93.5	86.5	93.5	77.5	86.5
fung	fung	1	93.5	93.5	96	93.5	91
H	oleo	2	98	96	100	89	64
H	oleo	2	91	45	96	98	96
H	oleo	2	86.5	48	82	96	93.5
H	extrato	2	100	93.5	96	96	93.5
H	extrato	2	100	96	100	96	93.5
H	extrato	2	91	96	100	93.5	93.5
A	oleo	2	93.5	61.5	86.5	73	64
A	oleo	2	96	89	91	96	82
A	oleo	2	97	75.25	88.75	93.5	96
A	extrato	2	91	57	74.6	59.3	80
A	extrato	2	100	57	74.6	59.3	72
A	extrato	2	77.5	57	64	48	64
C	oleo	2	91	86.5	82	32	32
C	oleo	2	91	91	93.5	86.5	59.25
C	oleo	2	96	80	57	93.5	86.5
C	extrato	2	95.5	82	73	82	73
C	extrato	2	98	91	96	73	82
C	extrato	2	95.5	64	89	93.5	64
test	test	2	100	100	98	100	98
test	test	2	98	96	89	86.5	57
test	test	2	96	96	80	73	57
fung	fung	2	77.5	32	57	64	69.4
fung	fung	2	100	89	82	86.7	32
fung	fung	2	98	96	98	96	93.5
H	oleo	3	93.5	91	96	40.25	80
H	oleo	3	100	80	93.5	91	77.5
H	oleo	3	77.5	89	89	86.5	73
H	extrato	3	98	86.5	96	96	96
H	extrato	3	98	86.5	96	91	96
H	extrato	3	98	93.5	96	93.5	96
A	oleo	3	98	96	96	96	96
A	oleo	3	96	96	96	92	93.5
A	oleo	3	100	96	96	98	96
A	extrato	3	98	76.5	93.5	16.5	82
A	extrato	3	93.5	57	93.5	16.5	82
A	extrato	3	91	96	93.5	16.5	82
C	oleo	3	100	96	96	100	96
C	oleo	3	100	96	96	86.5	89
C	oleo	3	98	96	96	91	96
C	extrato	3	96	86.5	96	77.5	77.5
C	extrato	3	100	100	96	100	96
C	extrato	3	93.5	91	96	86.5	89
test	test	3	100	96	96	86.5	89
test	test	3	98	93.5	96	91	73
test	test	3	96	100	96	100	100
fung	fung	3	77.5	86.5	96	82	96
fung	fung	3	90.2	49.25	93.5	61.5	73
fung	fung	3	98	96	96	93.5	91
