"";"chave";"ano";"sigla";"dsc_tribunal";"secao";"dpjio";"tram";"cp";"sus";"tbaix";"mag";"serv";"cp.sus";"cp.sus.fisc";"tbaix.sus.fisc";"cp.sus.fisc.penal";"tbaix.sus.fisc.penal";"tcl";"ips";"ipm";"dpjio_tbaix";"eff";"target.tbaix"
"1";"TRF1_DF_2012";2012;"TRF1";"TRF 1ª Região";"DF";169017345,03;300429;240398;0;101849;39;719;240398;146794;84462;146607;84376;0,660988120321274;141,653685674548;2611,51282051282;1659,48948963662;0,588265453753294;143431,846051231
"2";"TRF1_GO_2012";2012;"TRF1";"TRF 1ª Região";"GO";133992205,95;244755;178829;0;82239;34;588;178829;84595;74472;84161;74323;0,66399460685175;139,862244897959;2418,79411764706;1629,30247145515;0,74872042034606;99266,6928539865
"3";"TRF1_MT_2012";2012;"TRF1";"TRF 1ª Região";"MT";72306641,31;113975;81809;0;40325;17;330;81809;52745;35830;52354;35654;0,646194340864225;122,19696969697;2372,05882352941;1793,09711866088;0,623077078204061;57222,4548891576
"4";"TRF1_MG_2012";2012;"TRF1";"TRF 1ª Região";"MG";379654181,25;831785;637392;0;293625;112;1726;637392;398288;268427;397159;267788;0,646994115065792;170,118771726535;2621,65178571429;1292,98997445722;0,743322436111084;360258,196161835
"5";"TRF1_AC_2012";2012;"TRF1";"TRF 1ª Região";"AC";28791407,2;36727;22565;0;14760;7;126;22565;16573;14469;16347;14432;0,598115827592779;117,142857142857;2108,57142857143;1950,63734417344;0,708462170353713;20370,8830251227
"6";"TRF1_AM_2012";2012;"TRF1";"TRF 1ª Região";"AM";51644256,34;91029;65563;0;31813;12;256;65563;22857;25812;22500;25685;0,650517966801788;124,26953125;2651,08333333333;1623,36957658819;0,759563295870265;33815,4833700483
"7";"TRF1_AP_2012";2012;"TRF1";"TRF 1ª Região";"AP";26994306,21;33873;27481;0;14645;8;134;27481;16885;14189;16807;14182;0,567649750538777;109,291044776119;1830,625;1843,24385182656;0,69663205732513;20357,9491510265
"8";"TRF1_PA_2012";2012;"TRF1";"TRF 1ª Região";"PA";96635112,77;256593;177119;0;91685;18;447;177119;115848;84776;115312;84658;0,642683159712073;205,111856823266;5093,61111111111;1053,99043213176;0,90864311757872;93169,6926573217
"9";"TRF1_RO_2012";2012;"TRF1";"TRF 1ª Região";"RO";42813733,65;84198;63070;0;27741;12;205;63070;42871;25251;42371;24986;0,670526615834105;135,321951219512;2311,75;1543,3377906348;0,628935036912326;39727,4734806722
"10";"TRF1_RR_2012";2012;"TRF1";"TRF 1ª Região";"RR";22735122,64;29791;20477;0;14245;4;102;20477;14644;13428;14570;13395;0,521835453660501;139,656862745098;3561,25;1596,00720533521;0,823900120346125;16258,0386496032
